CRSE_ID,CRSE_OFFER_NBR,CRSE_EFFDT,SUBJECT,CRSE_CODE,COURSE_TITLE_LONG,ACAD_ORG_MAU_DESCRFORMAL,ACAD_ORG_U1_DESCRFORMAL,RQRMNT_GROUP,EFFDT,DESCR254A,RQRMNT_USEAGE,RQRMNT_LIST_SEQ,RQ_CONNECT_TYPE,MIN_CRSES_REQD,MIN_UNITS_REQD,GRADE_POINTS_MIN,GPA_REQUIRED,RQ_LINE_KEY_NBR,RQ_GRP_LINE_NBR,RQ_GRP_LINE_TYPE,REQUIREMENT,REQUISITE_TYPE,SSR_DESCR80,RQDET_CRSE_ID,RQDET_CRSE,RQ_CONNECT,PARENTHESIS,MIN_CRSES_REQD,MIN_UNITS_REQD,CONDITION_CODE,CONDITION_OPERATOR,CONDITION_DATA,DESCR,RQRMNT_USEAGE,RQRMNT_LIST_SEQ,RQ_CONNECT_TYPE,MIN_CRSES_REQD,MIN_UNITS_REQD,GRADE_POINTS_MIN,GPA_REQUIRED,RQ_LINE_KEY_NBR,RQ_LINE_DET_SEQ,RQ_LINE_DET_TYPE,COURSE_LIST,CONDITION_CODE,CONDITION_OPERATOR,CONDITION_DATA,CourseList
100093,1,00:00.0,ACC,300,Intermediate Financial Accounting I,Eli Broad College of Business,Accounting and Information Systems,600042,00:00.0,Prerequisite: ACC 201 and ACC 202    Restrictions: Open to juniors or seniors in the Department of Accounting and Information Systems or in the Department of Finance or in the Business - Admitted major or approval of department.    Not open to student,ENR,1,OR,0,0,0,0,1,10,RQ,1558,PRE, , ,, , ,0,0, , , ,ACC 300,ENR,1,AND,0,0,0,0,4,1,COND, ,PL,IN,350,
100093,1,00:00.0,ACC,300,Intermediate Financial Accounting I,Eli Broad College of Business,Accounting and Information Systems,600042,00:00.0,Prerequisite: ACC 201 and ACC 202    Restrictions: Open to juniors or seniors in the Department of Accounting and Information Systems or in the Department of Finance or in the Business - Admitted major or approval of department.    Not open to student,ENR,1,OR,0,0,0,0,1,10,RQ,1558,PRE, , ,, , ,0,0, , , ,ACC 300,ENR,1,AND,0,0,0,0,5,1,COND, ,PL,EQ,BUSAD_NOHN,
100093,1,00:00.0,ACC,300,Intermediate Financial Accounting I,Eli Broad College of Business,Accounting and Information Systems,600042,00:00.0,Prerequisite: ACC 201 and ACC 202    Restrictions: Open to juniors or seniors in the Department of Accounting and Information Systems or in the Department of Finance or in the Business - Admitted major or approval of department.    Not open to student,ENR,1,OR,0,0,0,0,3,30,COND, , , , ,,OR, ,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100114,1,00:00.0,FI,413,Management of Financial Institutions,Eli Broad College of Business,Finance,602037,00:00.0,Prerequisite: FI 311    Restrictions: Open to students in the Eli Broad College of Business and The Eli Broad Graduate School of Management.    ,ENR,1,OR,0,0,0,0,1,10,CRSE, ,PRE,FI 311,118460,FI 311 (118460-Eli Broad College of Business Finance), ,(,0,0, , , ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100114,1,00:00.0,FI,413,Management of Financial Institutions,Eli Broad College of Business,Finance,602037,00:00.0,Prerequisite: FI 311    Restrictions: Open to students in the Eli Broad College of Business and The Eli Broad Graduate School of Management.    ,ENR,1,OR,0,0,0,0,2,20,COND, , ,College of Business, ,,AND,),0,0,PL,IN,145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100114,1,00:00.0,FI,413,Management of Financial Institutions,Eli Broad College of Business,Finance,602037,00:00.0,Prerequisite: FI 311    Restrictions: Open to students in the Eli Broad College of Business and The Eli Broad Graduate School of Management.    ,ENR,1,OR,0,0,0,0,3,30,COND, , ,Honors Students, ,,OR, ,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100127,1,00:00.0,ACC,890,Independent Study,Eli Broad College of Business,Accounting and Information Systems,600074,00:00.0,Restrictions: Open only to master's students in the Professional Accounting major or approval of department.    ,ENR,1,AND,0,0,0,0,1,10,COND, , ,Masters in Accounting, ,, , ,0,0,PL,EQ,ACCOUNT_MS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100196,1,00:00.0,ANP,463,Lab Methods in Archaeology,College of Social Science,Anthropology,600285,00:00.0,Prerequisite: ANP 203 or ANP 464    ,ENR,1,AND,0,0,0,0,1,10,RQ,1756,PRE, , ,, , ,0,0, , , ,ANP 463,ENR,1,AND,0,0,0,0,1,1,CLST,4860,NA,EQ, ,"ANP 203 (116653-College of Social Science Anthropology), ANP 264 (116645-College of Social Science Anthropology)"
100196,1,00:00.0,ANP,463,Lab Methods in Archaeology,College of Social Science,Anthropology,600285,00:00.0,Prerequisite: ANP 203 or ANP 464    ,ENR,1,AND,0,0,0,0,1,10,RQ,1756,PRE, , ,, , ,0,0, , , ,ANP 463,ENR,1,AND,0,0,0,0,2,1,COND, ,PL,IN,116,
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,1,10,RQ,1731,PRE, , ,, ,(,0,0, , , ,ANP 422,ENR,1,AND,0,0,0,0,1,1,CLST,1893,NA,EQ, ,ANP 201 (116642-College of Social Science Anthropology)
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,1,10,RQ,1731,PRE, , ,, ,(,0,0, , , ,ANP 422,ENR,1,AND,0,0,0,0,2,1,COND, ,PL,IN,116,
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,2,20,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,1,CLST,4, , , ,"WRA 101 (125835-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), MC 111 (120116-James Madison College James Madison College Dean), MC 112 (120117-James Madison College James Madison College Dean), RCAH 111 (123305-Residential College in Arts and Humanities Residential College in Arts and Humanities Dean), AL 110 (126059-College of Arts and Letters Arts and Letters Dean)"
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,2,20,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,2,CLST,7880,NA,EQ, ,"WRA 110 (116990-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), AL 192 (116554-College of Arts and Letters Arts and Letters Dean), AL 192H (116555-College of Arts and Letters Arts and Letters Dean), WRA 115 (116991-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 120 (116992-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 125 (116993-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 130 (116994-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 135 (116995-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 140 (116996-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 145 (116997-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 150 (116998-College of Arts and Letters Writing, Rhetoric, and Cultures)"
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,2,20,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,7,CLST,4,NA,EQ, ,"WRA 101 (125835-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), MC 111 (120116-James Madison College James Madison College Dean), MC 112 (120117-James Madison College James Madison College Dean), RCAH 111 (123305-Residential College in Arts and Humanities Residential College in Arts and Humanities Dean), AL 110 (126059-College of Arts and Letters Arts and Letters Dean)"
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,2,20,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,8,CLST,7880,NA,EQ, ,"WRA 110 (116990-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), AL 192 (116554-College of Arts and Letters Arts and Letters Dean), AL 192H (116555-College of Arts and Letters Arts and Letters Dean), WRA 115 (116991-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 120 (116992-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 125 (116993-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 130 (116994-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 135 (116995-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 140 (116996-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 145 (116997-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 150 (116998-College of Arts and Letters Writing, Rhetoric, and Cultures)"
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,2,20,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,2,1,COND, ,TBL,EQ,244,
100197,1,00:00.0,ANP,422,Religion and Culture,College of Social Science,Anthropology,600269,00:00.0,Prerequisite: (ANP 201) or completion of Tier I writing requirement    ,ENR,1,OR,0,0,0,0,3,30,COND, , , , ,,OR, ,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100212,1,00:00.0,ANP,850,Principles of Archaeological Research Design,College of Social Science,Anthropology,600313,00:00.0,Restrictions: Open only to graduate students.    ,ENR,1,AND,0,0,0,0,1,10,COND, , ,Grad Students, ,, , ,0,0,PR,IN,528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,1,10,COND, , ,Honors Students, ,, , ,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,2,20,RQ,3209,PRE, , ,,OR,(,0,0, , , ,"CEM 141, 151, 181H, or LB 171",ENR,1,AND,0,0,0,0,1,1,CLST,4936,NA,EQ, ,"CEM 141 (117268-College of Natural Science Chemistry), CEM 151 (117271-College of Natural Science Chemistry), LB 171 (119804-Lyman Briggs College Lyman Briggs Dean), CEM 181H (117275-College of Natural Science Chemistry)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,3,30,RQ,3211,PRE, , ,,AND, ,0,0, , , ,"PLB 105, BS 161,181H or LB 145",ENR,1,AND,0,0,0,0,1,1,CLST,4938,NA,EQ, ,"PLB 105 (117137-College of Natural Science Plant Biology CNS), BS 161 (117187-College of Natural Science Biological Science Program), LB 145 (119799-Lyman Briggs College Lyman Briggs Dean), BS 181H (123051-College of Natural Science Biological Science Program)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,4,40,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,1,CLST,4, , , ,"WRA 101 (125835-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), MC 111 (120116-James Madison College James Madison College Dean), MC 112 (120117-James Madison College James Madison College Dean), RCAH 111 (123305-Residential College in Arts and Humanities Residential College in Arts and Humanities Dean), AL 110 (126059-College of Arts and Letters Arts and Letters Dean)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,4,40,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,2,CLST,7880,NA,EQ, ,"WRA 110 (116990-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), AL 192 (116554-College of Arts and Letters Arts and Letters Dean), AL 192H (116555-College of Arts and Letters Arts and Letters Dean), WRA 115 (116991-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 120 (116992-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 125 (116993-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 130 (116994-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 135 (116995-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 140 (116996-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 145 (116997-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 150 (116998-College of Arts and Letters Writing, Rhetoric, and Cultures)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,4,40,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,7,CLST,4,NA,EQ, ,"WRA 101 (125835-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), MC 111 (120116-James Madison College James Madison College Dean), MC 112 (120117-James Madison College James Madison College Dean), RCAH 111 (123305-Residential College in Arts and Humanities Residential College in Arts and Humanities Dean), AL 110 (126059-College of Arts and Letters Arts and Letters Dean)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,4,40,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,8,CLST,7880,NA,EQ, ,"WRA 110 (116990-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), AL 192 (116554-College of Arts and Letters Arts and Letters Dean), AL 192H (116555-College of Arts and Letters Arts and Letters Dean), WRA 115 (116991-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 120 (116992-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 125 (116993-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 130 (116994-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 135 (116995-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 140 (116996-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 145 (116997-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 150 (116998-College of Arts and Letters Writing, Rhetoric, and Cultures)"
100461,1,00:00.0,PLB,301,Introductory Plant Physiology,College of Natural Science,Plant Biology CNS,605781,00:00.0,Prerequisite: {CEM 141 or CEM 151 or LB 171 or CEM 181H} and ((PLB 105 or BS 161 or LB 145 or BS 181H) and completion of Tier I writing requirement)    Semester Alias: BOT 301    ,ENR,1,OR,0,0,0,0,4,40,RQ,2083,PRE, , ,,AND,),0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,2,1,COND, ,TBL,EQ,244,
100546,1,00:00.0,CE,321,Introduction to Fluid Mechanics,College of Engineering,Civil and Environmental Engineering,600730,00:00.0,Prerequisite: (MTH 235) and CE 221 and Completion of Tier I Writing Requirement    Restrictions: Open to juniors or seniors in the Department of Civil and Environmental Engineering or in the Biosystems Engineering Major.    Not open to students with ,ENR,1,OR,0,0,0,0,1,10,RQ,1934,PRE, , ,, ,(,0,0, , , ,CE 321,ENR,1,AND,0,0,0,0,1,1,CLST,6436, , , ,"MTH 235 (120660-College of Natural Science Mathematics), CE 221 (123054-College of Engineering Civil and Environmental Engineering), ME 221 (123054-College of Engineering Civil and Environmental Engineering)"
100546,1,00:00.0,CE,321,Introduction to Fluid Mechanics,College of Engineering,Civil and Environmental Engineering,600730,00:00.0,Prerequisite: (MTH 235) and CE 221 and Completion of Tier I Writing Requirement    Restrictions: Open to juniors or seniors in the Department of Civil and Environmental Engineering or in the Biosystems Engineering Major.    Not open to students with ,ENR,1,OR,0,0,0,0,1,10,RQ,1934,PRE, , ,, ,(,0,0, , , ,CE 321,ENR,1,AND,0,0,0,0,2,1,COND, ,TBL,EQ,164,
100546,1,00:00.0,CE,321,Introduction to Fluid Mechanics,College of Engineering,Civil and Environmental Engineering,600730,00:00.0,Prerequisite: (MTH 235) and CE 221 and Completion of Tier I Writing Requirement    Restrictions: Open to juniors or seniors in the Department of Civil and Environmental Engineering or in the Biosystems Engineering Major.    Not open to students with ,ENR,1,OR,0,0,0,0,1,10,RQ,1934,PRE, , ,, ,(,0,0, , , ,CE 321,ENR,1,AND,0,0,0,0,3,1,COND, ,PL,IN,316,
100546,1,00:00.0,CE,321,Introduction to Fluid Mechanics,College of Engineering,Civil and Environmental Engineering,600730,00:00.0,Prerequisite: (MTH 235) and CE 221 and Completion of Tier I Writing Requirement    Restrictions: Open to juniors or seniors in the Department of Civil and Environmental Engineering or in the Biosystems Engineering Major.    Not open to students with ,ENR,1,OR,0,0,0,0,1,10,RQ,1934,PRE, , ,, ,(,0,0, , , ,CE 321,ENR,1,AND,0,0,0,0,4,1,COND, ,PL,IN,354,
100546,1,00:00.0,CE,321,Introduction to Fluid Mechanics,College of Engineering,Civil and Environmental Engineering,600730,00:00.0,Prerequisite: (MTH 235) and CE 221 and Completion of Tier I Writing Requirement    Restrictions: Open to juniors or seniors in the Department of Civil and Environmental Engineering or in the Biosystems Engineering Major.    Not open to students with ,ENR,1,OR,0,0,0,0,2,30,RQ,2083,PRE, , ,,AND, ,0,0, , , ,Tier I Writing Requirement,ENR,1,AND,0,0,0,0,1,1,CLST,4, , , ,"WRA 101 (125835-College of Arts and Letters Writing, Rhetoric, and Cultures), WRA 195H (116999-College of Arts and Letters Writing, Rhetoric, and Cultures), LB 133 (119797-Lyman Briggs College Lyman Briggs Dean), MC 111 (120116-James Madison College James Madison College Dean), MC 112 (120117-James Madison College James Madison College Dean), RCAH 111 (123305-Residential College in Arts and Humanities Residential College in Arts and Humanities Dean), AL 110 (126059-College of Arts and Letters Arts and Letters Dean)"
